# source: BACI HS17 V202601 2024 aggregates; analysis/41_attack.py; built 2026-07-30
# metrics: lcc_node_share = |LCC|/remaining nodes (topology holds?);
#   lcc_share_of_surviving_weight = fragmentation of what survives;
#   lcc_share_of_original_weight = value destroyed+stranded (amputation view)
# betweenness distance = 1/ln(1+w); random band = 100 seeds p5-p95
strategy,metric,fraction_removed,value,p5,p95
targeted_betweenness,lcc_share_of_original_weight,0.12,0.07743767585189631,,
targeted_betweenness,lcc_node_share,0.14,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.14,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.14,0.05508576392384583,,
targeted_betweenness,lcc_node_share,0.16,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.16,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.16,0.043409061207614,,
targeted_betweenness,lcc_node_share,0.18,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.18,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.18,0.03438078727782857,,
targeted_betweenness,lcc_node_share,0.2,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.2,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.2,0.03050721055232833,,
targeted_betweenness,lcc_node_share,0.22,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.22,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.22,0.025393085908900406,,
targeted_betweenness,lcc_node_share,0.24,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.24,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.24,0.024624694782331036,,
targeted_betweenness,lcc_node_share,0.26,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.26,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.26,0.022645016839044966,,
targeted_betweenness,lcc_node_share,0.28,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.28,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.28,0.02108321046718072,,
targeted_betweenness,lcc_node_share,0.3,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.3,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.3,0.01638099134954042,,
targeted_betweenness,lcc_node_share,0.32,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.32,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.32,0.013890743706376319,,
targeted_betweenness,lcc_node_share,0.34,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.34,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.34,0.010016232123643934,,
targeted_betweenness,lcc_node_share,0.36,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.36,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.36,0.008820110138658344,,
targeted_betweenness,lcc_node_share,0.38,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.38,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.38,0.00792578690015195,,
targeted_betweenness,lcc_node_share,0.4,1.0,,
targeted_betweenness,lcc_share_of_surviving_weight,0.4,1.0,,
targeted_betweenness,lcc_share_of_original_weight,0.4,0.006453329782806372,,
random,lcc_node_share,0.0,1.0,1.0,1.0
random,lcc_node_share,0.02,1.0,1.0,1.0
random,lcc_node_share,0.04,1.0,1.0,1.0
random,lcc_node_share,0.06,1.0,1.0,1.0
random,lcc_node_share,0.08,1.0,1.0,1.0
random,lcc_node_share,0.1,1.0,1.0,1.0
random,lcc_node_share,0.12,1.0,1.0,1.0
random,lcc_node_share,0.14,1.0,1.0,1.0
random,lcc_node_share,0.16,1.0,1.0,1.0
random,lcc_node_share,0.18,1.0,1.0,1.0
random,lcc_node_share,0.2,1.0,1.0,1.0
random,lcc_node_share,0.22,1.0,1.0,1.0
random,lcc_node_share,0.24,1.0,1.0,1.0
random,lcc_node_share,0.26,1.0,1.0,1.0
random,lcc_node_share,0.28,1.0,1.0,1.0
random,lcc_node_share,0.3,1.0,1.0,1.0
random,lcc_node_share,0.32,1.0,1.0,1.0
random,lcc_node_share,0.34,1.0,1.0,1.0
random,lcc_node_share,0.36,1.0,1.0,1.0
random,lcc_node_share,0.38,1.0,1.0,1.0
random,lcc_node_share,0.4,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.0,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.02,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.04,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.06,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.08,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.1,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.12,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.14,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.16,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.18,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.2,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.22,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.24,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.26,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.28,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.3,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.32,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.34,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.36,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.38,1.0,1.0,1.0
random,lcc_share_of_surviving_weight,0.4,1.0,1.0,1.0
random,lcc_share_of_original_weight,0.0,1.0,1.0,1.0
random,lcc_share_of_original_weight,0.02,0.963868819340542,0.77985275182758,0.997495847355176
random,lcc_share_of_original_weight,0.04,0.9370897781317666,0.7729759683381917,0.9873869412864501
random,lcc_share_of_original_weight,0.06,0.9045676146370862,0.7311352269653192,0.9621012415042794
random,lcc_share_of_original_weight,0.08,0.8703925355334403,0.6710205410834128,0.9444836936850004
random,lcc_share_of_original_weight,0.1,0.836531527117701,0.6384003511375582,0.9294376886827544
random,lcc_share_of_original_weight,0.12,0.7984474279548937,0.6090921861844675,0.9010500408303737
random,lcc_share_of_original_weight,0.14,0.7467577751433963,0.5466921094006215,0.8878417346793652
random,lcc_share_of_original_weight,0.16,0.7128027265034771,0.529012412971606,0.8553806658806306
random,lcc_share_of_original_weight,0.18,0.6852284651812166,0.4935220401272395,0.811307295160398
random,lcc_share_of_original_weight,0.2,0.6494544176715152,0.43905154899763965,0.7915767627799497
random,lcc_share_of_original_weight,0.22,0.6184344189236987,0.4077163576950104,0.7789000410993883
random,lcc_share_of_original_weight,0.24,0.5841540290563904,0.3855419531955553,0.7243213346935068
random,lcc_share_of_original_weight,0.26,0.5475993534571644,0.3477159429036912,0.6920493272013634
random,lcc_share_of_original_weight,0.28,0.5200115863856449,0.32761799581828477,0.6723210836966206
random,lcc_share_of_original_weight,0.3,0.473054780763268,0.2679621271219515,0.6557655275713952
random,lcc_share_of_original_weight,0.32,0.4524898427648482,0.2630316406704572,0.6409571132686002
random,lcc_share_of_original_weight,0.34,0.4284715599575226,0.25071268956055265,0.6028849299341699
random,lcc_share_of_original_weight,0.36,0.3963254807509934,0.23147085345698895,0.5923767648477553
random,lcc_share_of_original_weight,0.38,0.36249635081553955,0.20555652674899472,0.5649315047229362
random,lcc_share_of_original_weight,0.4,0.34679533608425467,0.19093065717517207,0.5367539090927513
